Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score
63,ISKPL,"ISKPL - Işıklar Plastik 
	Hisse Senedi",2026/3,March,472225662.0,False,13474600000.0,3.5,12.6,11670.0,1804.6,97351408.0,23.2,73.0,51.0,124.0
64,IZENR,"IZENR - İzdemir Enerji 
	Hisse Senedi",2026/3,March,1363185362.0,False,21830000000.0,6.24,6.96,21505.0,325.0,180758499.0,27.1,49.0,76.0,125.0
65,RALYH,"RALYH - Ral Yatırım Holding 
	Hisse Senedi",2026/3,March,1712586057.0,False,81026299999.99998,2.11,13.46,78021.9,3004.4,509915483.0,17.5,83.0,43.0,126.0
66,AKFYE,"AKFYE - Akfen Yenilenebilir Enerji 
	Hisse Senedi",2026/3,March,2946007687.0,False,40141800000.0,7.34,4.05,28775.0,11366.8,132747000.0,5.9,42.0,87.0,129.0
67,TATEN,"TATEN - Tatlıpınar Enerji 
	Hisse Senedi",2026/3,March,1100595543.0,False,20875100000.0,5.27,7.71,13901.6,6973.5,177056641.0,13.3,57.0,72.0,129.0
68,AKHAN,"AKHAN - Akhan Un 
	Hisse Senedi",2026/3,March,626938264.0,False,14716500000.0,4.26,8.54,11945.4,2771.1,110737909.0,5.1,65.0,66.0,131.0
69,BIMAS,"BIMAS - Bim Birleşik Mağazalar A.Ş 
	Hisse Senedi",2026/3,March,21785093184.0,False,487717300000.0,4.47,8.32,459600.0,28117.3,7644301000.0,85.5,62.0,69.0,131.0
70,BRSAN,"BRSAN - Borusan Birleşik Boru Fab. 
	Hisse Senedi",2026/3,March,3598650271.0,False,82359700000.0,4.37,8.03,74855.4,7504.3,226056000.0,30.3,63.0,70.0,133.0
71,GEREL,"GEREL - Gersan Elektrik 
	Hisse Senedi",2026/3,March,420645394.0,False,16583900000.000002,2.54,10.05,15271.5,1312.4,1723560.0,8.3,80.0,59.0,139.0
72,KAREL,"KAREL - Karel Elektronik 
	Hisse Senedi",2026/3,March,150672511.0,False,12752900000.0,1.18,13.32,7172.4,5580.5,322468893.0,6.1,95.0,45.0,140.0
