Rank,Ticker,Name,Period,Group,EBIT_TTM,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score
74,CEMZY,"CEMZY - Cem Zeytin 
	Hisse Senedi",2026/3,March,572593213.0,30179200000.0,1.9,11.25,29900.0,279.2,138863518.0,8.0,89.0,54.0,143.0
75,KRDMA,"KRDMA - Kardemir (A) 
	Hisse Senedi",2026/3,March,585507145.0,10491200000.0,5.58,2.48,9722.7,768.5,27016758.0,9.4,49.0,96.0,145.0
76,KRDMD,"KRDMD - Kardemir (D) 
	Hisse Senedi",2026/3,March,1901044392.0,34156900000.0,5.57,2.48,31661.6,2495.3,87718924.0,50.2,50.0,95.0,145.0
77,PGSUS,"PGSUS - Pegasus Hava Taşımacılığı 
	Hisse Senedi",2026/3,March,12064223939.0,253734700000.0,4.75,3.73,84200.0,169534.7,4848841000.0,56.8,57.0,89.0,146.0
78,DMRGD,"DMRGD - DMR Unlu Mamüller 
	Hisse Senedi",2026/3,March,217869186.0,14988900000.000002,1.45,10.5,14972.2,16.7,26272604.0,10.3,93.0,57.0,150.0
79,GRTHO,"GRTHO - GrainTurk Tarım 
	Hisse Senedi",2026/3,March,792384234.0,25683100000.0,3.09,7.39,26612.5,-929.4,380339527.0,5.9,75.0,75.0,150.0
80,QUAGR,"QUAGR - QUA Granite 
	Hisse Senedi",2026/3,March,558842395.0,14495200000.0,3.86,5.37,10560.0,3935.2,360706148.0,13.5,67.0,83.0,150.0
81,TOASO,"TOASO - Tofaş Fabrika 
	Hisse Senedi",2026/3,March,6795639031.0,196215900000.0,3.46,6.48,148000.0,48215.9,964187000.0,22.4,72.0,79.0,151.0
82,KCHOL,"KCHOL - Koç Holding 
	Hisse Senedi",2026/3,March,119517337186.0,3518114000000.0,3.4,6.71,471677.0,3046437.0,26167000000.0,101.2,73.0,78.0,151.0
83,AYGAZ,"AYGAZ - Aygaz 
	Hisse Senedi",2026/3,March,2357330417.0,52577200000.00001,4.48,3.23,53653.4,-1076.2,815342000.0,6.3,60.0,93.0,153.0
84,ARCLK,"ARCLK - Arçelik 
	Hisse Senedi",2026/3,March,8504027917.0,240056800000.0,3.54,5.54,70275.7,169781.1,5889608000.0,5.7,71.0,82.0,153.0
85,BIGEN,"BIGEN - Birleşim Grup Enerji 
	Hisse Senedi",2026/3,March,507966619.0,29011200000.0,1.75,8.94,25826.5,3184.7,103184125.0,6.0,91.0,64.0,155.0
86,ODAS,"ODAS - Odaş Elektrik Üretim 
	Hisse Senedi",2026/3,March,481771443.0,8693600000.0,5.54,1.19,10234.0,-1540.4,353062124.0,13.4,51.0,105.0,156.0
87,SEGMN,"SEGMN - Seğmen Gıda 
	Hisse Senedi",2026/3,March,304175264.0,10445500000.0,2.91,5.23,10632.6,-187.1,125505238.0,5.9,78.0,84.0,162.0
88,DOFRB,"DOFRB - Dof Robotik 
	Hisse Senedi",2026/3,March,233080988.0,27118400000.0,0.86,9.17,26815.0,303.4,28304263.0,35.8,100.0,62.0,162.0
89,EREGL,"EREGL - Ereğli Demir Çelik 
	Hisse Senedi",2026/3,March,11480877007.0,311471300000.0,3.69,2.61,280000.0,31471.3,3212593000.0,122.7,68.0,94.0,162.0
90,KONTR,"KONTR - Kontrolmatik Teknoloji 
	Hisse Senedi",2026/3,March,773799359.0,23370500000.0,3.31,4.25,10322.0,13048.5,225643016.0,36.9,74.0,88.0,162.0
91,BMSTL,"BMSTL - BMS Birleşik Metal 
	Hisse Senedi",2026/3,March,122585301.0,12759300000.0,0.96,7.43,12232.5,526.8,54524201.0,5.8,98.0,74.0,172.0
92,KBORU,"KBORU - Kuzey Boru 
	Hisse Senedi",2026/3,March,329717379.0,17962000000.0,1.84,4.43,14580.0,3382.0,203430732.0,6.5,90.0,87.0,177.0
93,HOROZ,"HOROZ - Horoz Lojistik 
	Hisse Senedi",2026/3,March,192371235.0,9503400000.0,2.02,3.26,6483.5,3019.9,81674524.0,7.0,87.0,92.0,179.0
94,KRDMB,"KRDMB - Kardemir (B) 
	Hisse Senedi",2026/3,March,291093148.0,14061500000.0,2.07,2.48,13679.4,382.1,13431763.0,20.1,86.0,97.0,183.0
95,OTKAR,"OTKAR - Otokar 
	Hisse Senedi",2026/3,March,835414959.0,76722500000.0,1.09,3.57,44280.0,32442.5,838437000.0,6.6,95.0,90.0,185.0
96,ALTNY,"ALTNY - Altınay Savunma 
	Hisse Senedi",2026/3,March,133261307.0,18946300000.0,0.7,4.84,17040.0,1906.3,43768971.0,12.8,101.0,85.0,186.0
97,SISE,"SISE - Şişecam 
	Hisse Senedi",2026/3,March,5109028367.0,262975400000.00003,1.94,1.35,139376.2,123599.2,450804000.0,65.4,88.0,102.0,190.0
98,OZATD,"OZATD - Özata Denizcilik 
	Hisse Senedi",2026/3,March,282195451.0,100965900000.0,0.28,4.45,99890.0,1075.9,49428517.0,10.5,107.0,86.0,193.0
99,CVKMD,"CVKMD - Cvk Maden 
	Hisse Senedi",2026/3,March,455610596.0,67520899999.99999,0.67,3.36,64736.0,2784.9,72609387.0,22.4,102.0,91.0,193.0
100,OBAMS,"OBAMS - Oba Makarnacılık 
	Hisse Senedi",2026/3,March,220952362.0,20744200000.0,1.07,1.89,23357.4,-2613.2,692219681.0,11.2,96.0,99.0,195.0
101,ARFYE,"ARFYE - Arf Bio Enerji 
	Hisse Senedi",2026/3,March,49690272.0,5169099999.999999,0.96,2.08,5631.4,-462.3,71528823.0,6.1,97.0,98.0,195.0
102,ECILC,"ECILC - Eczacıbaşı İlaç 
	Hisse Senedi",2026/3,March,713964525.0,58777700000.00001,1.21,0.97,58932.4,-154.7,258579000.0,14.4,94.0,106.0,200.0
103,MARTI,"MARTI - Martı Otel İşletmeleri 
	Hisse Senedi",2025/9,September,121644687.0,8141200000.0,1.49,0.56,2895.0,5246.2,360104559.0,6.7,92.0,110.0,202.0
104,TMPOL,"TMPOL - TE-MAPOL Polimer Plastik 
	Hisse Senedi",2026/3,March,23800246.0,4910299999.999999,0.48,1.88,4323.4,586.9,8197757.0,5.2,105.0,100.0,205.0
105,KLRHO,"KLRHO - Kiler Holding 
	Hisse Senedi",2025/12,December,701424000.0,149327400000.0,0.47,1.24,157868.8,-8541.4,1157649000.0,23.0,106.0,104.0,210.0
106,PASEU,"PASEU - Pasifik Eurasia 
	Hisse Senedi",2026/3,March,86679033.0,74322400000.0,0.12,1.85,73248.0,1074.4,124215077.0,51.5,110.0,101.0,211.0
107,SASA,"SASA - Sasa Polyester Sanayi A.Ş. 
	Hisse Senedi",2026/3,March,1689109974.0,262392500000.0,0.64,0.59,124427.6,137964.9,1310274000.0,245.3,103.0,109.0,212.0
108,BESTE,"BESTE - Best Brands Grup 
	Hisse Senedi",2026/3,March,31050627.0,6365099999.999999,0.49,0.6,6658.7,-293.6,58547245.0,13.6,104.0,108.0,212.0
109,MAGEN,"MAGEN - Margün Enerji 
	Hisse Senedi",2026/3,March,288701212.0,198970800000.0,0.15,1.24,191160.0,7810.8,245556579.0,10.8,109.0,103.0,212.0
110,GZNMI,"GZNMI - Gezinomi Seyahat 
	Hisse Senedi",2026/3,March,14344129.0,5771900000.0,0.25,0.77,4533.8,1238.1,106101873.0,6.6,108.0,107.0,215.0
